t,s_mm_fore,s_mm_hind,beta_deg_fore,beta_deg_hind,d_mm_fore,d_mm_hind
3.38,7.946183905236218,0.6301362627825827,99.35312473216769,116.15330336364748,1.4625494760655962,0.6953210638269852
3.4,5.808776302097661,-1.172444235267723,101.0226153682813,113.58669378517811,1.955220937770529,0.3285949605041141
3.42,3.578575665477322,-3.0497531009593506,102.38495601816902,110.27571060656857,2.218874284774437,0.0226480060390466
3.44,1.6485717656435896,-4.788540692926176,100.98655284164612,107.20406126757426,2.107072245975724,0.0502902542590644
3.46,-0.4123077686634921,-6.621837279587241,100.62301297772407,104.04858465289604,1.7874704190706403,0.3100778914638833
3.48,-2.593110922861231,-8.165655027425638,98.72550181551904,100.69530508420794,1.426531711093486,0.3624122311440215
3.5,-4.6281850301077165,-9.600806315626784,96.15363910241842,98.95211421262653,0.9049764830676196,0.5122722950075391
3.52,-6.6236079658234415,-11.070288097912082,95.47164646393908,95.61719627307345,0.2336675367070312,0.621535691884889
3.54,-8.476754670586471,-12.58560823652163,93.69313290150974,96.13779189784132,-0.3965160589305986,0.7101148526352812
3.56,-9.903966164302409,-13.991755525628422,90.77549455787788,95.71639597049288,-0.9524974845847524,0.731516904385367
3.58,-11.233244711381266,-15.038870679087154,87.1058076070199,93.16970129739458,-1.3362064131195397,0.4591770580016827
3.6,-12.76617192824855,-15.783588624667455,85.49684954749695,87.11500782036397,-1.292124790462038,0.2461800294197816
3.62,-14.386403836230468,-16.515545177361417,85.83588556656002,83.96393769594889,-1.0063508455163,-0.1404874755675929
3.64,-15.602511288841097,-17.054698201006858,83.28285566087123,80.93998273515484,-0.6789636813852312,-0.121661797126125
3.66,-16.33911123908912,-17.594500308440118,79.19748280237528,79.04425470394554,-0.3736736597779975,-0.0550148563068208
3.68,-16.98141973972247,-17.55419081917136,77.14083256021365,75.39158847867158,-0.0041596010700839,-0.0292370788692145
3.7,-17.830956252628482,-17.32929276933159,73.1512227350266,67.00509264586582,0.4096731888575336,0.1485750942197488
3.72,-18.169150213313248,-16.99868802614663,67.23871372759314,60.94255804191254,0.6705708495302319,0.3389406414393435
3.74,-17.894997765825803,-16.0680139214454,55.29904047240973,57.00619453721363,0.5493442354210656,0.7608231559608327
3.76,-17.282170980722594,-15.08826139960281,41.012433624412715,52.30460912203126,0.2248300885122849,1.1512267822841793
3.78,-16.632119930916677,-13.6308948930355,29.26088828319186,50.51977699483644,0.0134442776182265,1.526771119963953
3.8,-15.693834960891186,-11.932960347456124,19.28927351300794,45.890933897458865,-0.0331917350144747,2.036641888725207
3.82,-14.320842086684609,-9.752802917091142,17.12829676152359,38.830578222311345,-0.048101618412202,2.107426128338241
3.84,-12.67931707806631,-7.64111041310736,17.69084294923213,30.06427206263371,-0.0711938778152512,2.0914096549743655
3.86,-10.711687871462296,-5.452685470576316,18.49477562613207,22.902745684909497,-0.1632255002898225,1.6479207658209538
3.88,-8.34800847277056,-2.814822656755925,19.226071303039493,18.241417704771543,-0.288246042918993,1.1347270706104888
3.9,-6.079934361296543,0.0118597623031424,19.650250240897257,13.887134625793118,-0.346812973900972,0.5874400001877473
3.92,-3.460639105881022,2.604206974821199,19.242264316085933,12.958353988361988,-0.405330151920036,0.1204398412818595
3.94,-0.671288299808161,5.832884131140932,17.877912260192474,14.201278689167149,-0.4368206277491766,-0.1599527662752348
3.96,2.1737527395723557,8.748355199018976,18.187981821501204,15.089270225220062,-0.3552219783859823,-0.1291654407496947
3.98,5.2991534871273105,11.26150954880575,18.02895104784275,17.091119497107712,-0.2909925927003265,0.2741309861427558
4.0,8.317854193956503,14.177641494138449,16.484653623661394,17.470481517701792,-0.3436690681327229,0.555277948499567
4.0200000000000005,11.216677213662406,17.044941862347475,14.935807599483292,20.044712707703635,-0.4463260144133316,0.783136065435664
4.04,14.112660685796746,19.476844719986413,14.390958567715575,21.973953469958303,-0.528626316131511,1.0657156337338554
4.0600000000000005,16.991668906769362,21.45316365944534,13.540134473557751,23.94094410961216,-0.681401631506905,1.0748805969547237
4.08,19.65676290473939,23.06388176093741,12.340934046607398,28.206259555452032,-0.9030399282696392,1.1264025427490243
4.1,21.808241416318108,23.184294363657624,12.610873583900784,35.96566516441725,-1.120218669384106,1.1692183314528517
4.12,24.0724561255428,23.212581979400035,15.034547014227885,44.96936323866328,-1.3428489997904762,0.961910262495124
4.14,24.939983118034803,22.317729765483023,18.42297032593399,53.68938640085929,-1.5363400233618627,0.7386396845522363
4.16,25.484192583575688,20.918724068309707,23.042411641540436,63.7761037925098,-1.721413887637565,0.0417274802083508
